,title,label
0,Tourists could face the death penalty for taking photos on beach near airport,1
1,Well well well...,1
2,Video games are now a legitimate high school sport,1
3,‘A poor decision was made’: Someone tried to dry a wet baseball field in Connecticut by setting it on fire,1
4,Stanford expels student admitted with falsified sailing credentials,1
5,"Cop Allegedly Showed Up Drunk to Breathalyzer Training, Volunteered for Demonstration",1
6,Pregnant mother reportedly faces jail time for letting 3-year-old urinate in parking lot,1
7,Man accused of assaulting cashier for bagging chips with canned goods,1
8,"Baseball field closed due to 'poor decision' to douse it in gas, set it on fire",1
9,A poor decision to light the field on fire with 24 gallons of gasoline,1
10,This is an Onion headline: satirical media group sold to private equity,1
11,Stanford expels student admitted with falsified sailing credentials,1
12,15 Finest Plugins into Develop your Weblog in 2019,1
13,Police: Naked murder suspect captured waving gun inside South Nashville Waffle House,1
14,Pewdiepie Apologizes for Accidentally Promoting Alt Right Figure Pewdiepie,1
15,"Yoga Does Not Make Inmates Gay, Says Russian Prison Chief As Classes Are Reinstated",1
16,Julius Caesar Mussolini: The Italian Far-right Has a New Darling,1
17,Melbourne's Vegan protests lose momentum and activists begin napping sue to iron deficiencies,1
18,Teacher at Catholic London secondary school is suspended after it's discovered he 'CAN'T READ or write',1
19,Indonesian Buddhist woman imprisoned after complaining mosque is too loud,1
20,Drunk driver hits Ambulance that was there to help drunk driver who hit police while they detained a drunk driver,1
21,13 MEPs Pressed the Wrong Button On Crucial Copyright Vote,1
22,Study Shows Dogs Can Accurately Sniff Out Cancer in Blood,1
23,Man Featured in 'Humans of New York' Moves to NYC to Escape Demonic Roommate,1
24,Horror trailers played before Peppa Pig,1
25,Oregon College Students Tricked Apple Into Replacing Fake iPhones From China,1
26,Ex-ICE head: Trump had 'single dumbest idea I've ever heard',1
27,Julius Caesar Mussolini: The Italian Far-right Has a New Darling,1
28,Woman horrified to find man turned Department of Conservation hut into a 'brewery',1
29,JULIUS CAESAR MUSSOLINI: THE ITALIAN FAR-RIGHT HAS A NEW DARLING,1
30,Melbourne's Vegan Protests Lose Momentum As Activists Begin Napping Due To Iron Deficiencies,1
31,Drunk driver hits ambulance responding to a drunk driver hitting a police car responding to a drunk driver.,1
32,Mussolini’s great-grandson is Italian hard-right candidate,1
33,Mum Jailed After Calling Ex-Husband’s New Wife A Horse,1
34,"China's Communist Party tells its members to celebrate two birthdays: The day they were born, and the day they signed up",1
35,Trump says he made Golan Heights decision after a quick history lesson,1
36,"“Reading the Bible for long could be bad for your health,” minister says",1
37,'Give me a quickie': Trump explains his Golan decision,1
38,Vegan protestors in Australia nap during protest due to iron deficiencies,1
39,Person poured and ignited 24 gallons of gasoline in an attempt to dry a wet baseball field.,1
40,Blizzard bans Okay Symbol,1
41,Alabama Court Awards Aborted Fetus the Right to Sue Abortion Clinic,1
42,Kim Kardashian West Plans CBD-Themed Baby Shower,1
43,Belgium apology for mixed-race kidnappings in colonial era,1
44,An aborted fetus in Alabama just got the right to sue the abortion clinic,1
45,Digger used to steal ATM from filling station in eighth incident this year,1
46,British woman faces Dubai jail over Facebook 'horse' insult.,1
47,Digger used to steal ATM from filling station in eighth theft this year,1
48,"British Woman Arrested In Dubai Over ""Horse"" Comment On Ex-Husband's Wife",1
49,Three Irish actors beat off stiff competition to head list of 'biggest penises in Hollywood',1
50,Report: Blizzard Forbids “Okay” Symbol in Overwatch League Arena – Claims It’s a “White Power Symbol”,1
51,"When the former Malaysian ruling party came out with a fake news law, the citizens overthrew them at the election",1
52,Russia's Prison Service Defends Yoga Against Homosexuality and Riot Claims,1
53,Melbourne's Vegan Protests Lose Momentum As Activists Begin Napping Due To Iron Deficiencies,1
54,"Man goes to poach rhino, gets killed by elephants and eaten by lions.",1
55,Melbourne's Vegan Protests Lose Momentum As Activists Begin Napping Due To Iron Deficiencies,1
56,New findings about why some people fall for fake news and pseudo-profound bullshit,1
57,Kanye West presents Gretzky - Taking Lives [Sound Track] (Official Video),1
58,"Suspected rhino poacher killed by elephant and then eaten by lions, police say",1
59,Wladimir Klitschko arranged WADA come to Kiev to test two President election candidates for drugs,1
60,"Suspected rhino poacher killed by elephant then eaten by lions in South Africa, authorities say",1
